"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1999-04-21","Edmonton Oilers","1","Dallas Stars","2","","","",""
"2","1999-04-21","Mighty Ducks of Anaheim","3","Detroit Red Wings","5","","","",""
"3","1999-04-21","Buffalo Sabres","2","Ottawa Senators","1","","","",""
"4","1999-04-22","Boston Bruins","2","Carolina Hurricanes","0","","","",""
"5","1999-04-22","Pittsburgh Penguins","1","New Jersey Devils","3","","","",""
"6","1999-04-22","St. Louis Blues","3","Phoenix Coyotes","1","","","",""
"7","1999-04-22","Philadelphia Flyers","3","Toronto Maple Leafs","0","","","",""
"8","1999-04-23","Edmonton Oilers","2","Dallas Stars","3","","","",""
"9","1999-04-23","Mighty Ducks of Anaheim","1","Detroit Red Wings","5","","","",""
"10","1999-04-23","Buffalo Sabres","3","Ottawa Senators","2","2OT","","",""
"11","1999-04-24","Boston Bruins","2","Carolina Hurricanes","3","OT","","",""
"12","1999-04-24","Pittsburgh Penguins","4","New Jersey Devils","1","","","",""
"13","1999-04-24","St. Louis Blues","3","Phoenix Coyotes","4","OT","","",""
"14","1999-04-24","Colorado Avalanche","3","San Jose Sharks","1","","","",""
"15","1999-04-24","Philadelphia Flyers","1","Toronto Maple Leafs","2","","","",""
"16","1999-04-25","Ottawa Senators","0","Buffalo Sabres","3","","","",""
"17","1999-04-25","Dallas Stars","3","Edmonton Oilers","2","","","",""
"18","1999-04-25","Detroit Red Wings","4","Mighty Ducks of Anaheim","2","","","",""
"19","1999-04-25","New Jersey Devils","2","Pittsburgh Penguins","4","","","",""
"20","1999-04-25","Phoenix Coyotes","5","St. Louis Blues","4","","","",""
"21","1999-04-26","Carolina Hurricanes","3","Boston Bruins","2","","","",""
"22","1999-04-26","Toronto Maple Leafs","2","Philadelphia Flyers","1","","","",""
"23","1999-04-26","Colorado Avalanche","2","San Jose Sharks","1","OT","","",""
"24","1999-04-27","Ottawa Senators","3","Buffalo Sabres","4","","","",""
"25","1999-04-27","Dallas Stars","3","Edmonton Oilers","2","3OT","","",""
"26","1999-04-27","Detroit Red Wings","3","Mighty Ducks of Anaheim","0","","","",""
"27","1999-04-27","New Jersey Devils","4","Pittsburgh Penguins","2","","","",""
"28","1999-04-27","Phoenix Coyotes","2","St. Louis Blues","1","","","",""
"29","1999-04-28","Carolina Hurricanes","1","Boston Bruins","4","","","",""
"30","1999-04-28","San Jose Sharks","4","Colorado Avalanche","2","","","",""
"31","1999-04-28","Toronto Maple Leafs","2","Philadelphia Flyers","5","","","",""
"32","1999-04-30","Boston Bruins","4","Carolina Hurricanes","3","2OT","","",""
"33","1999-04-30","San Jose Sharks","7","Colorado Avalanche","3","","","",""
"34","1999-04-30","Pittsburgh Penguins","3","New Jersey Devils","4","","","",""
"35","1999-04-30","St. Louis Blues","2","Phoenix Coyotes","1","OT","","",""
"36","1999-04-30","Philadelphia Flyers","1","Toronto Maple Leafs","2","OT","","",""
"37","1999-05-01","San Jose Sharks","2","Colorado Avalanche","6","","","",""
"38","1999-05-02","Carolina Hurricanes","0","Boston Bruins","2","","","",""
"39","1999-05-02","Toronto Maple Leafs","1","Philadelphia Flyers","0","","","",""
"40","1999-05-02","New Jersey Devils","2","Pittsburgh Penguins","3","OT","","",""
"41","1999-05-02","Phoenix Coyotes","3","St. Louis Blues","5","","","",""
"42","1999-05-03","Colorado Avalanche","3","San Jose Sharks","2","OT","","",""
"43","1999-05-04","Pittsburgh Penguins","4","New Jersey Devils","2","","","",""
"44","1999-05-04","St. Louis Blues","1","Phoenix Coyotes","0","OT","","",""
"45","1999-05-06","Buffalo Sabres","2","Boston Bruins","4","","","",""
"46","1999-05-06","St. Louis Blues","0","Dallas Stars","3","","","",""
"47","1999-05-07","Detroit Red Wings","3","Colorado Avalanche","2","OT","","",""
"48","1999-05-07","Pittsburgh Penguins","2","Toronto Maple Leafs","0","","","",""
"49","1999-05-08","St. Louis Blues","4","Dallas Stars","5","OT","","",""
"50","1999-05-09","Buffalo Sabres","3","Boston Bruins","1","","","",""
"51","1999-05-09","Detroit Red Wings","4","Colorado Avalanche","0","","","",""
"52","1999-05-09","Pittsburgh Penguins","2","Toronto Maple Leafs","4","","","",""
"53","1999-05-10","Dallas Stars","2","St. Louis Blues","3","OT","","",""
"54","1999-05-11","Colorado Avalanche","5","Detroit Red Wings","3","","","",""
"55","1999-05-11","Toronto Maple Leafs","3","Pittsburgh Penguins","4","","","",""
"56","1999-05-12","Boston Bruins","2","Buffalo Sabres","3","","","",""
"57","1999-05-12","Dallas Stars","2","St. Louis Blues","3","OT","","",""
"58","1999-05-13","Colorado Avalanche","6","Detroit Red Wings","2","","","",""
"59","1999-05-13","Toronto Maple Leafs","3","Pittsburgh Penguins","2","OT","","",""
"60","1999-05-14","Boston Bruins","0","Buffalo Sabres","3","","","",""
"61","1999-05-15","St. Louis Blues","1","Dallas Stars","3","","","",""
"62","1999-05-15","Pittsburgh Penguins","1","Toronto Maple Leafs","4","","","",""
"63","1999-05-16","Buffalo Sabres","3","Boston Bruins","5","","","",""
"64","1999-05-16","Detroit Red Wings","0","Colorado Avalanche","3","","","",""
"65","1999-05-17","Toronto Maple Leafs","4","Pittsburgh Penguins","3","OT","","",""
"66","1999-05-17","Dallas Stars","2","St. Louis Blues","1","OT","","",""
"67","1999-05-18","Boston Bruins","2","Buffalo Sabres","3","","","",""
"68","1999-05-18","Colorado Avalanche","5","Detroit Red Wings","2","","","",""
"69","1999-05-22","Colorado Avalanche","2","Dallas Stars","1","","","",""
"70","1999-05-23","Buffalo Sabres","5","Toronto Maple Leafs","4","","","",""
"71","1999-05-24","Colorado Avalanche","2","Dallas Stars","4","","","",""
"72","1999-05-25","Buffalo Sabres","3","Toronto Maple Leafs","6","","","",""
"73","1999-05-26","Dallas Stars","3","Colorado Avalanche","0","","","",""
"74","1999-05-27","Toronto Maple Leafs","2","Buffalo Sabres","4","","","",""
"75","1999-05-28","Dallas Stars","2","Colorado Avalanche","3","OT","","",""
"76","1999-05-29","Toronto Maple Leafs","2","Buffalo Sabres","5","","","",""
"77","1999-05-30","Colorado Avalanche","7","Dallas Stars","5","","","",""
"78","1999-05-31","Buffalo Sabres","4","Toronto Maple Leafs","2","","","",""
"79","1999-06-01","Dallas Stars","4","Colorado Avalanche","1","","","",""
"80","1999-06-04","Colorado Avalanche","1","Dallas Stars","4","","","",""
"81","1999-06-08","Buffalo Sabres","3","Dallas Stars","2","OT","","",""
"82","1999-06-10","Buffalo Sabres","2","Dallas Stars","4","","","",""
"83","1999-06-12","Dallas Stars","2","Buffalo Sabres","1","","","",""
"84","1999-06-15","Dallas Stars","1","Buffalo Sabres","2","","","",""
"85","1999-06-17","Buffalo Sabres","0","Dallas Stars","2","","","",""
"86","1999-06-19","Dallas Stars","2","Buffalo Sabres","1","3OT","","",""
