"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2007-04-11","Minnesota Wild","1","Anaheim Ducks","2","","","",""
"2","2007-04-11","San Jose Sharks","5","Nashville Predators","4","2OT","","",""
"3","2007-04-11","Pittsburgh Penguins","3","Ottawa Senators","6","","","",""
"4","2007-04-11","Dallas Stars","4","Vancouver Canucks","5","4OT","","",""
"5","2007-04-12","New York Rangers","4","Atlanta Thrashers","3","","","",""
"6","2007-04-12","New York Islanders","1","Buffalo Sabres","4","","","",""
"7","2007-04-12","Calgary Flames","1","Detroit Red Wings","4","","","",""
"8","2007-04-12","Tampa Bay Lightning","3","New Jersey Devils","5","","","",""
"9","2007-04-13","Minnesota Wild","2","Anaheim Ducks","3","","","",""
"10","2007-04-13","San Jose Sharks","2","Nashville Predators","5","","","",""
"11","2007-04-13","Dallas Stars","2","Vancouver Canucks","0","","","",""
"12","2007-04-14","New York Rangers","2","Atlanta Thrashers","1","","","",""
"13","2007-04-14","New York Islanders","3","Buffalo Sabres","2","","","",""
"14","2007-04-14","Tampa Bay Lightning","3","New Jersey Devils","2","","","",""
"15","2007-04-14","Pittsburgh Penguins","4","Ottawa Senators","3","","","",""
"16","2007-04-15","Vancouver Canucks","2","Dallas Stars","1","OT","","",""
"17","2007-04-15","Calgary Flames","1","Detroit Red Wings","3","","","",""
"18","2007-04-15","Anaheim Ducks","2","Minnesota Wild","1","","","",""
"19","2007-04-15","Ottawa Senators","4","Pittsburgh Penguins","2","","","",""
"20","2007-04-16","Buffalo Sabres","3","New York Islanders","2","","","",""
"21","2007-04-16","Nashville Predators","1","San Jose Sharks","3","","","",""
"22","2007-04-16","New Jersey Devils","2","Tampa Bay Lightning","3","","","",""
"23","2007-04-17","Detroit Red Wings","2","Calgary Flames","3","","","",""
"24","2007-04-17","Vancouver Canucks","2","Dallas Stars","1","","","",""
"25","2007-04-17","Anaheim Ducks","1","Minnesota Wild","4","","","",""
"26","2007-04-17","Atlanta Thrashers","0","New York Rangers","7","","","",""
"27","2007-04-17","Ottawa Senators","2","Pittsburgh Penguins","1","","","",""
"28","2007-04-18","Buffalo Sabres","4","New York Islanders","2","","","",""
"29","2007-04-18","Atlanta Thrashers","2","New York Rangers","4","","","",""
"30","2007-04-18","Nashville Predators","2","San Jose Sharks","3","","","",""
"31","2007-04-18","New Jersey Devils","4","Tampa Bay Lightning","3","OT","","",""
"32","2007-04-19","Minnesota Wild","1","Anaheim Ducks","4","","","",""
"33","2007-04-19","Detroit Red Wings","2","Calgary Flames","3","","","",""
"34","2007-04-19","Pittsburgh Penguins","0","Ottawa Senators","3","","","",""
"35","2007-04-19","Dallas Stars","1","Vancouver Canucks","0","OT","","",""
"36","2007-04-20","New York Islanders","3","Buffalo Sabres","4","","","",""
"37","2007-04-20","Tampa Bay Lightning","0","New Jersey Devils","3","","","",""
"38","2007-04-20","San Jose Sharks","3","Nashville Predators","2","","","",""
"39","2007-04-21","Vancouver Canucks","0","Dallas Stars","2","","","",""
"40","2007-04-21","Calgary Flames","1","Detroit Red Wings","5","","","",""
"41","2007-04-22","Detroit Red Wings","2","Calgary Flames","1","2OT","","",""
"42","2007-04-22","New Jersey Devils","3","Tampa Bay Lightning","2","","","",""
"43","2007-04-23","Dallas Stars","1","Vancouver Canucks","4","","","",""
"44","2007-04-25","Vancouver Canucks","1","Anaheim Ducks","5","","","",""
"45","2007-04-25","New York Rangers","2","Buffalo Sabres","5","","","",""
"46","2007-04-26","San Jose Sharks","2","Detroit Red Wings","0","","","",""
"47","2007-04-26","Ottawa Senators","5","New Jersey Devils","4","","","",""
"48","2007-04-27","Vancouver Canucks","2","Anaheim Ducks","1","2OT","","",""
"49","2007-04-27","New York Rangers","2","Buffalo Sabres","3","","","",""
"50","2007-04-28","San Jose Sharks","2","Detroit Red Wings","3","","","",""
"51","2007-04-28","Ottawa Senators","2","New Jersey Devils","3","2OT","","",""
"52","2007-04-29","Buffalo Sabres","1","New York Rangers","2","2OT","","",""
"53","2007-04-29","Anaheim Ducks","3","Vancouver Canucks","2","","","",""
"54","2007-04-30","New Jersey Devils","0","Ottawa Senators","2","","","",""
"55","2007-04-30","Detroit Red Wings","1","San Jose Sharks","2","","","",""
"56","2007-05-01","Buffalo Sabres","1","New York Rangers","2","","","",""
"57","2007-05-01","Anaheim Ducks","3","Vancouver Canucks","2","OT","","",""
"58","2007-05-02","New Jersey Devils","2","Ottawa Senators","3","","","",""
"59","2007-05-02","Detroit Red Wings","3","San Jose Sharks","2","OT","","",""
"60","2007-05-03","Vancouver Canucks","1","Anaheim Ducks","2","2OT","","",""
"61","2007-05-04","New York Rangers","1","Buffalo Sabres","2","OT","","",""
"62","2007-05-05","San Jose Sharks","1","Detroit Red Wings","4","","","",""
"63","2007-05-05","Ottawa Senators","3","New Jersey Devils","2","","","",""
"64","2007-05-06","Buffalo Sabres","5","New York Rangers","4","","","",""
"65","2007-05-07","Detroit Red Wings","2","San Jose Sharks","0","","","",""
"66","2007-05-10","Ottawa Senators","5","Buffalo Sabres","2","","","",""
"67","2007-05-11","Anaheim Ducks","1","Detroit Red Wings","2","","","",""
"68","2007-05-12","Ottawa Senators","4","Buffalo Sabres","3","2OT","","",""
"69","2007-05-13","Anaheim Ducks","4","Detroit Red Wings","3","OT","","",""
"70","2007-05-14","Buffalo Sabres","0","Ottawa Senators","1","","","",""
"71","2007-05-15","Detroit Red Wings","5","Anaheim Ducks","0","","","",""
"72","2007-05-16","Buffalo Sabres","3","Ottawa Senators","2","","","",""
"73","2007-05-17","Detroit Red Wings","3","Anaheim Ducks","5","","","",""
"74","2007-05-19","Ottawa Senators","3","Buffalo Sabres","2","OT","","",""
"75","2007-05-20","Anaheim Ducks","2","Detroit Red Wings","1","OT","","",""
"76","2007-05-22","Detroit Red Wings","3","Anaheim Ducks","4","","","",""
"77","2007-05-28","Ottawa Senators","2","Anaheim Ducks","3","","","",""
"78","2007-05-30","Ottawa Senators","0","Anaheim Ducks","1","","","",""
"79","2007-06-02","Anaheim Ducks","3","Ottawa Senators","5","","","",""
"80","2007-06-04","Anaheim Ducks","3","Ottawa Senators","2","","","",""
"81","2007-06-06","Ottawa Senators","2","Anaheim Ducks","6","","","",""
