"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1997-04-16","Chicago Blackhawks","0","Colorado Avalanche","6","","","",""
"2","1997-04-16","Edmonton Oilers","3","Dallas Stars","5","","","",""
"3","1997-04-16","St. Louis Blues","2","Detroit Red Wings","0","","","",""
"4","1997-04-16","Phoenix Coyotes","2","Mighty Ducks of Anaheim","4","","","",""
"5","1997-04-17","Ottawa Senators","1","Buffalo Sabres","3","","","",""
"6","1997-04-17","New York Rangers","0","Florida Panthers","3","","","",""
"7","1997-04-17","Montreal Canadiens","2","New Jersey Devils","5","","","",""
"8","1997-04-17","Pittsburgh Penguins","1","Philadelphia Flyers","5","","","",""
"9","1997-04-18","Chicago Blackhawks","1","Colorado Avalanche","3","","","",""
"10","1997-04-18","Edmonton Oilers","4","Dallas Stars","0","","","",""
"11","1997-04-18","St. Louis Blues","1","Detroit Red Wings","2","","","",""
"12","1997-04-18","Phoenix Coyotes","2","Mighty Ducks of Anaheim","4","","","",""
"13","1997-04-19","Ottawa Senators","3","Buffalo Sabres","1","","","",""
"14","1997-04-19","Montreal Canadiens","1","New Jersey Devils","4","","","",""
"15","1997-04-19","Pittsburgh Penguins","2","Philadelphia Flyers","3","","","",""
"16","1997-04-20","Colorado Avalanche","3","Chicago Blackhawks","4","2OT","","",""
"17","1997-04-20","Dallas Stars","3","Edmonton Oilers","4","OT","","",""
"18","1997-04-20","New York Rangers","3","Florida Panthers","0","","","",""
"19","1997-04-20","Mighty Ducks of Anaheim","1","Phoenix Coyotes","4","","","",""
"20","1997-04-20","Detroit Red Wings","3","St. Louis Blues","2","","","",""
"21","1997-04-21","Buffalo Sabres","3","Ottawa Senators","2","","","",""
"22","1997-04-21","Philadelphia Flyers","5","Pittsburgh Penguins","3","","","",""
"23","1997-04-22","Colorado Avalanche","3","Chicago Blackhawks","6","","","",""
"24","1997-04-22","Dallas Stars","4","Edmonton Oilers","3","","","",""
"25","1997-04-22","New Jersey Devils","6","Montreal Canadiens","4","","","",""
"26","1997-04-22","Florida Panthers","3","New York Rangers","4","OT","","",""
"27","1997-04-22","Mighty Ducks of Anaheim","0","Phoenix Coyotes","2","","","",""
"28","1997-04-22","Detroit Red Wings","0","St. Louis Blues","4","","","",""
"29","1997-04-23","Florida Panthers","2","New York Rangers","3","","","",""
"30","1997-04-23","Buffalo Sabres","0","Ottawa Senators","1","OT","","",""
"31","1997-04-23","Philadelphia Flyers","1","Pittsburgh Penguins","4","","","",""
"32","1997-04-24","Chicago Blackhawks","0","Colorado Avalanche","7","","","",""
"33","1997-04-24","Phoenix Coyotes","5","Mighty Ducks of Anaheim","2","","","",""
"34","1997-04-24","New Jersey Devils","3","Montreal Canadiens","4","3OT","","",""
"35","1997-04-25","Ottawa Senators","4","Buffalo Sabres","1","","","",""
"36","1997-04-25","Edmonton Oilers","1","Dallas Stars","0","2OT","","",""
"37","1997-04-25","St. Louis Blues","2","Detroit Red Wings","5","","","",""
"38","1997-04-25","New York Rangers","3","Florida Panthers","2","OT","","",""
"39","1997-04-26","Colorado Avalanche","6","Chicago Blackhawks","3","","","",""
"40","1997-04-26","Montreal Canadiens","0","New Jersey Devils","4","","","",""
"41","1997-04-26","Pittsburgh Penguins","3","Philadelphia Flyers","6","","","",""
"42","1997-04-27","Dallas Stars","3","Edmonton Oilers","2","","","",""
"43","1997-04-27","Buffalo Sabres","3","Ottawa Senators","0","","","",""
"44","1997-04-27","Mighty Ducks of Anaheim","3","Phoenix Coyotes","2","OT","","",""
"45","1997-04-27","Detroit Red Wings","3","St. Louis Blues","1","","","",""
"46","1997-04-29","Ottawa Senators","2","Buffalo Sabres","3","OT","","",""
"47","1997-04-29","Edmonton Oilers","4","Dallas Stars","3","OT","","",""
"48","1997-04-29","Phoenix Coyotes","0","Mighty Ducks of Anaheim","3","","","",""
"49","1997-05-02","Edmonton Oilers","1","Colorado Avalanche","5","","","",""
"50","1997-05-02","Mighty Ducks of Anaheim","1","Detroit Red Wings","2","OT","","",""
"51","1997-05-02","New York Rangers","0","New Jersey Devils","2","","","",""
"52","1997-05-03","Philadelphia Flyers","5","Buffalo Sabres","3","","","",""
"53","1997-05-04","Edmonton Oilers","1","Colorado Avalanche","4","","","",""
"54","1997-05-04","Mighty Ducks of Anaheim","2","Detroit Red Wings","3","3OT","","",""
"55","1997-05-04","New York Rangers","2","New Jersey Devils","0","","","",""
"56","1997-05-05","Philadelphia Flyers","2","Buffalo Sabres","1","","","",""
"57","1997-05-06","Detroit Red Wings","5","Mighty Ducks of Anaheim","3","","","",""
"58","1997-05-06","New Jersey Devils","2","New York Rangers","3","","","",""
"59","1997-05-07","Colorado Avalanche","3","Edmonton Oilers","4","","","",""
"60","1997-05-07","Buffalo Sabres","1","Philadelphia Flyers","4","","","",""
"61","1997-05-08","Detroit Red Wings","3","Mighty Ducks of Anaheim","2","2OT","","",""
"62","1997-05-08","New Jersey Devils","0","New York Rangers","3","","","",""
"63","1997-05-09","Colorado Avalanche","3","Edmonton Oilers","2","OT","","",""
"64","1997-05-09","Buffalo Sabres","5","Philadelphia Flyers","4","OT","","",""
"65","1997-05-11","Philadelphia Flyers","6","Buffalo Sabres","3","","","",""
"66","1997-05-11","Edmonton Oilers","3","Colorado Avalanche","4","","","",""
"67","1997-05-11","New York Rangers","2","New Jersey Devils","1","OT","","",""
"68","1997-05-15","Detroit Red Wings","1","Colorado Avalanche","2","","","",""
"69","1997-05-16","New York Rangers","1","Philadelphia Flyers","3","","","",""
"70","1997-05-17","Detroit Red Wings","4","Colorado Avalanche","2","","","",""
"71","1997-05-18","New York Rangers","5","Philadelphia Flyers","4","","","",""
"72","1997-05-19","Colorado Avalanche","1","Detroit Red Wings","2","","","",""
"73","1997-05-20","Philadelphia Flyers","6","New York Rangers","3","","","",""
"74","1997-05-22","Colorado Avalanche","0","Detroit Red Wings","6","","","",""
"75","1997-05-23","Philadelphia Flyers","3","New York Rangers","2","","","",""
"76","1997-05-24","Detroit Red Wings","0","Colorado Avalanche","6","","","",""
"77","1997-05-25","New York Rangers","2","Philadelphia Flyers","4","","","",""
"78","1997-05-26","Colorado Avalanche","1","Detroit Red Wings","3","","","",""
"79","1997-05-31","Detroit Red Wings","4","Philadelphia Flyers","2","","","",""
"80","1997-06-03","Detroit Red Wings","4","Philadelphia Flyers","2","","","",""
"81","1997-06-05","Philadelphia Flyers","1","Detroit Red Wings","6","","","",""
"82","1997-06-07","Philadelphia Flyers","1","Detroit Red Wings","2","","","",""
