"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1988-04-06","Buffalo Sabres","3","Boston Bruins","7","","","",""
"2","1988-04-06","Los Angeles Kings","2","Calgary Flames","9","","","",""
"3","1988-04-06","Toronto Maple Leafs","6","Detroit Red Wings","2","","","",""
"4","1988-04-06","Winnipeg Jets","4","Edmonton Oilers","7","","","",""
"5","1988-04-06","Hartford Whalers","3","Montreal Canadiens","4","","","",""
"6","1988-04-06","New Jersey Devils","3","New York Islanders","4","OT","","",""
"7","1988-04-06","Chicago Blackhawks","1","St. Louis Blues","4","","","",""
"8","1988-04-06","Philadelphia Flyers","4","Washington Capitals","2","","","",""
"9","1988-04-07","Buffalo Sabres","1","Boston Bruins","4","","","",""
"10","1988-04-07","Los Angeles Kings","4","Calgary Flames","6","","","",""
"11","1988-04-07","Toronto Maple Leafs","2","Detroit Red Wings","6","","","",""
"12","1988-04-07","Winnipeg Jets","2","Edmonton Oilers","3","","","",""
"13","1988-04-07","Hartford Whalers","3","Montreal Canadiens","7","","","",""
"14","1988-04-07","New Jersey Devils","3","New York Islanders","2","","","",""
"15","1988-04-07","Chicago Blackhawks","2","St. Louis Blues","3","","","",""
"16","1988-04-07","Philadelphia Flyers","4","Washington Capitals","5","","","",""
"17","1988-04-09","Boston Bruins","2","Buffalo Sabres","6","","","",""
"18","1988-04-09","St. Louis Blues","3","Chicago Blackhawks","6","","","",""
"19","1988-04-09","Montreal Canadiens","4","Hartford Whalers","3","","","",""
"20","1988-04-09","Calgary Flames","2","Los Angeles Kings","5","","","",""
"21","1988-04-09","New York Islanders","0","New Jersey Devils","3","","","",""
"22","1988-04-09","Washington Capitals","3","Philadelphia Flyers","4","","","",""
"23","1988-04-09","Detroit Red Wings","6","Toronto Maple Leafs","3","","","",""
"24","1988-04-09","Edmonton Oilers","4","Winnipeg Jets","6","","","",""
"25","1988-04-10","Boston Bruins","5","Buffalo Sabres","6","OT","","",""
"26","1988-04-10","St. Louis Blues","6","Chicago Blackhawks","5","","","",""
"27","1988-04-10","Montreal Canadiens","5","Hartford Whalers","7","","","",""
"28","1988-04-10","Calgary Flames","7","Los Angeles Kings","3","","","",""
"29","1988-04-10","New York Islanders","5","New Jersey Devils","4","OT","","",""
"30","1988-04-10","Washington Capitals","4","Philadelphia Flyers","5","OT","","",""
"31","1988-04-10","Detroit Red Wings","8","Toronto Maple Leafs","0","","","",""
"32","1988-04-10","Edmonton Oilers","5","Winnipeg Jets","3","","","",""
"33","1988-04-12","Buffalo Sabres","4","Boston Bruins","5","","","",""
"34","1988-04-12","Los Angeles Kings","4","Calgary Flames","6","","","",""
"35","1988-04-12","Toronto Maple Leafs","6","Detroit Red Wings","5","OT","","",""
"36","1988-04-12","Winnipeg Jets","2","Edmonton Oilers","6","","","",""
"37","1988-04-12","Hartford Whalers","3","Montreal Canadiens","1","","","",""
"38","1988-04-12","New Jersey Devils","4","New York Islanders","2","","","",""
