"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2010-10-07","Chicago Blackhawks","3","Colorado Avalanche","4","OT","18,007","",""
"2","2010-10-07","Calgary Flames","0","Edmonton Oilers","4","","16,839","",""
"3","2010-10-07","Carolina Hurricanes","4","Minnesota Wild","3","","12,355","","at Helsinki, FI"
"4","2010-10-07","Philadelphia Flyers","3","Pittsburgh Penguins","2","","18,289","",""
"5","2010-10-07","Montreal Canadiens","2","Toronto Maple Leafs","3","","19,646","",""
"6","2010-10-08","Washington Capitals","2","Atlanta Thrashers","4","","15,596","",""
"7","2010-10-08","Minnesota Wild","1","Carolina Hurricanes","2","SO","13,465","","at Helsinki, FI"
"8","2010-10-08","San Jose Sharks","3","Columbus Blue Jackets","2","","11,324","","at Stockholm, SE"
"9","2010-10-08","Anaheim Ducks","0","Detroit Red Wings","4","","20,066","",""
"10","2010-10-08","Dallas Stars","4","New Jersey Devils","3","OT","17,625","",""
"11","2010-10-08","Buffalo Sabres","2","Ottawa Senators","1","","19,350","",""
"12","2010-10-09","Phoenix Coyotes","5","Boston Bruins","2","","15,299","","at Prague, CZ"
"13","2010-10-09","New York Rangers","6","Buffalo Sabres","3","","18,690","",""
"14","2010-10-09","Detroit Red Wings","3","Chicago Blackhawks","2","","22,161","",""
"15","2010-10-09","Anaheim Ducks","1","Nashville Predators","4","","17,113","",""
"16","2010-10-09","Dallas Stars","5","New York Islanders","4","SO","13,351","",""
"17","2010-10-09","Montreal Canadiens","3","Pittsburgh Penguins","2","","18,106","",""
"18","2010-10-09","Columbus Blue Jackets","3","San Jose Sharks","2","OT","9,537","","at Stockholm, SE"
"19","2010-10-09","Philadelphia Flyers","1","St. Louis Blues","2","OT","19,150","",""
"20","2010-10-09","Atlanta Thrashers","3","Tampa Bay Lightning","5","","19,791","",""
"21","2010-10-09","Ottawa Senators","1","Toronto Maple Leafs","5","","19,157","",""
"22","2010-10-09","Los Angeles Kings","2","Vancouver Canucks","1","SO","18,860","",""
"23","2010-10-09","New Jersey Devils","2","Washington Capitals","7","","18,398","",""
"24","2010-10-10","Los Angeles Kings","1","Calgary Flames","3","","19,289","",""
"25","2010-10-10","Florida Panthers","2","Edmonton Oilers","3","","16,839","",""
"26","2010-10-10","Boston Bruins","3","Phoenix Coyotes","0","","12,990","","at Prague, CZ"
"27","2010-10-11","Chicago Blackhawks","4","Buffalo Sabres","3","","17,896","",""
"28","2010-10-11","Pittsburgh Penguins","3","New Jersey Devils","1","","12,880","",""
"29","2010-10-11","New York Rangers","4","New York Islanders","6","","11,748","",""
"30","2010-10-11","Colorado Avalanche","2","Philadelphia Flyers","4","","19,652","",""
"31","2010-10-11","Anaheim Ducks","1","St. Louis Blues","5","","19,150","",""
"32","2010-10-11","Florida Panthers","1","Vancouver Canucks","2","","18,860","",""
"33","2010-10-11","Ottawa Senators","2","Washington Capitals","3","OT","18,398","",""
"34","2010-10-12","Colorado Avalanche","5","Detroit Red Wings","4","SO","19,651","",""
"35","2010-10-12","Atlanta Thrashers","1","Los Angeles Kings","3","","18,118","",""
"36","2010-10-13","Vancouver Canucks","3","Anaheim Ducks","4","","17,174","",""
"37","2010-10-13","New Jersey Devils","1","Buffalo Sabres","0","OT","18,690","",""
"38","2010-10-13","Nashville Predators","3","Chicago Blackhawks","2","","20,680","",""
"39","2010-10-13","Tampa Bay Lightning","4","Montreal Canadiens","3","OT","21,273","",""
"40","2010-10-13","Toronto Maple Leafs","4","Pittsburgh Penguins","3","","18,112","",""
"41","2010-10-13","New York Islanders","1","Washington Capitals","2","","18,398","",""
"42","2010-10-14","Florida Panthers","3","Calgary Flames","0","","19,289","",""
"43","2010-10-14","Detroit Red Wings","1","Dallas Stars","4","","18,532","",""
"44","2010-10-14","Edmonton Oilers","2","Minnesota Wild","4","","18,449","",""
"45","2010-10-14","St. Louis Blues","3","Nashville Predators","4","","15,103","",""
"46","2010-10-14","Carolina Hurricanes","2","Ottawa Senators","3","","16,270","",""
"47","2010-10-14","Tampa Bay Lightning","3","Philadelphia Flyers","2","","19,592","",""
"48","2010-10-15","Atlanta Thrashers","5","Anaheim Ducks","4","SO","13,123","",""
"49","2010-10-15","Montreal Canadiens","2","Buffalo Sabres","1","","17,264","",""
"50","2010-10-15","Chicago Blackhawks","5","Columbus Blue Jackets","2","","18,305","",""
"51","2010-10-15","Vancouver Canucks","1","Los Angeles Kings","4","","18,118","",""
"52","2010-10-15","Colorado Avalanche","3","New Jersey Devils","2","","12,221","",""
"53","2010-10-15","Toronto Maple Leafs","4","New York Rangers","3","OT","18,200","",""
"54","2010-10-15","New York Islanders","2","Pittsburgh Penguins","3","OT","18,195","",""
"55","2010-10-16","Edmonton Oilers","3","Calgary Flames","5","","19,289","",""
"56","2010-10-16","Buffalo Sabres","3","Chicago Blackhawks","4","","21,293","",""
"57","2010-10-16","St. Louis Blues","2","Dallas Stars","3","SO","11,750","",""
"58","2010-10-16","Tampa Bay Lightning","0","Florida Panthers","6","","17,040","",""
"59","2010-10-16","Columbus Blue Jackets","3","Minnesota Wild","2","","17,336","",""
"60","2010-10-16","Ottawa Senators","3","Montreal Canadiens","4","","21,273","",""
"61","2010-10-16","Boston Bruins","4","New Jersey Devils","1","","13,056","",""
"62","2010-10-16","Washington Capitals","3","Nashville Predators","2","OT","16,144","",""
"63","2010-10-16","Colorado Avalanche","2","New York Islanders","5","","10,127","",""
"64","2010-10-16","Pittsburgh Penguins","5","Philadelphia Flyers","1","","19,684","",""
"65","2010-10-16","Detroit Red Wings","2","Phoenix Coyotes","1","OT","17,125","",""
"66","2010-10-16","Atlanta Thrashers","4","San Jose Sharks","2","","17,562","",""
"67","2010-10-17","Phoenix Coyotes","2","Anaheim Ducks","3","","13,574","",""
"68","2010-10-17","Carolina Hurricanes","1","Vancouver Canucks","5","","18,860","",""
"69","2010-10-18","St. Louis Blues","2","Chicago Blackhawks","3","OT","20,641","",""
"70","2010-10-18","Colorado Avalanche","3","New York Rangers","1","","17,711","",""
"71","2010-10-18","Ottawa Senators","2","Pittsburgh Penguins","5","","18,101","",""
"72","2010-10-18","Dallas Stars","4","Tampa Bay Lightning","5","","13,277","",""
"73","2010-10-18","New York Islanders","2","Toronto Maple Leafs","1","OT","19,086","",""
"74","2010-10-19","Vancouver Canucks","2","Minnesota Wild","6","","16,806","",""
"75","2010-10-19","Calgary Flames","1","Nashville Predators","0","OT","15,684","",""
"76","2010-10-19","Carolina Hurricanes","5","San Jose Sharks","2","","17,562","",""
"77","2010-10-19","Boston Bruins","3","Washington Capitals","1","","18,398","",""
"78","2010-10-20","Buffalo Sabres","4","Atlanta Thrashers","1","","8,820","",""
"79","2010-10-20","Anaheim Ducks","1","Columbus Blue Jackets","3","","9,802","",""
"80","2010-10-20","Vancouver Canucks","1","Chicago Blackhawks","2","SO","20,859","",""
"81","2010-10-20","Carolina Hurricanes","3","Los Angeles Kings","4","","17,769","",""
"82","2010-10-21","Washington Capitals","1","Boston Bruins","4","","17,565","",""
"83","2010-10-21","San Jose Sharks","4","Colorado Avalanche","2","","12,803","",""
"84","2010-10-21","Calgary Flames","2","Detroit Red Wings","4","","18,399","",""
"85","2010-10-21","Minnesota Wild","4","Edmonton Oilers","2","","16,839","",""
"86","2010-10-21","Dallas Stars","4","Florida Panthers","1","","11,580","",""
"87","2010-10-21","New Jersey Devils","3","Montreal Canadiens","0","","21,273","",""
"88","2010-10-21","Pittsburgh Penguins","4","Nashville Predators","3","OT","17,113","",""
"89","2010-10-21","Anaheim Ducks","3","Philadelphia Flyers","2","","19,012","",""
"90","2010-10-21","Los Angeles Kings","2","Phoenix Coyotes","4","","6,706","",""
"91","2010-10-21","New York Islanders","3","Tampa Bay Lightning","2","OT","13,333","",""
"92","2010-10-21","New York Rangers","2","Toronto Maple Leafs","1","","19,310","",""
"93","2010-10-22","Tampa Bay Lightning","5","Atlanta Thrashers","2","","9,138","",""
"94","2010-10-22","Ottawa Senators","4","Buffalo Sabres","2","","18,009","",""
"95","2010-10-22","Calgary Flames","6","Columbus Blue Jackets","2","","10,784","",""
"96","2010-10-22","Chicago Blackhawks","2","St. Louis Blues","4","","19,150","",""
"97","2010-10-22","Minnesota Wild","1","Vancouver Canucks","5","","18,860","",""
"98","2010-10-23","New York Rangers","3","Boston Bruins","2","","17,565","",""
"99","2010-10-23","Columbus Blue Jackets","3","Chicago Blackhawks","2","","21,265","",""
"100","2010-10-23","Los Angeles Kings","6","Colorado Avalanche","4","","15,478","",""
"101","2010-10-23","Nashville Predators","1","Dallas Stars","0","","13,583","",""
"102","2010-10-23","Anaheim Ducks","4","Detroit Red Wings","5","","19,401","",""
"103","2010-10-23","San Jose Sharks","6","Edmonton Oilers","1","","16,839","",""
"104","2010-10-23","New York Islanders","3","Florida Panthers","4","","15,071","",""
"105","2010-10-23","Buffalo Sabres","6","New Jersey Devils","1","","14,228","",""
"106","2010-10-23","Montreal Canadiens","3","Ottawa Senators","0","","20,301","",""
"107","2010-10-23","Toronto Maple Leafs","2","Philadelphia Flyers","5","","19,382","",""
"108","2010-10-23","Carolina Hurricanes","4","Phoenix Coyotes","3","OT","8,189","",""
"109","2010-10-23","Pittsburgh Penguins","0","St. Louis Blues","1","OT","19,150","",""
"110","2010-10-23","Atlanta Thrashers","3","Washington Capitals","4","OT","18,398","",""
"111","2010-10-24","San Jose Sharks","0","Calgary Flames","4","","19,289","",""
"112","2010-10-24","New Jersey Devils","1","New York Rangers","3","","18,200","",""
"113","2010-10-24","Nashville Predators","4","Tampa Bay Lightning","3","","14,454","",""
"114","2010-10-25","Philadelphia Flyers","1","Columbus Blue Jackets","2","","11,727","",""
