"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1992-10-06","Los Angeles Kings","5","Calgary Flames","4","OT","","",""
"2","1992-10-06","Vancouver Canucks","5","Edmonton Oilers","4","","","",""
"3","1992-10-06","Montreal Canadiens","5","Hartford Whalers","1","","","",""
"4","1992-10-06","New York Islanders","3","New Jersey Devils","4","","","",""
"5","1992-10-06","Philadelphia Flyers","3","Pittsburgh Penguins","3","OT","","",""
"6","1992-10-06","Minnesota North Stars","4","St. Louis Blues","6","","","",""
"7","1992-10-06","Detroit Red Wings","1","Winnipeg Jets","4","","","",""
"8","1992-10-07","Chicago Blackhawks","3","Tampa Bay Lightning","7","","","",""
"9","1992-10-07","Washington Capitals","6","Toronto Maple Leafs","5","","","",""
"10","1992-10-08","Hartford Whalers","2","Boston Bruins","3","OT","","",""
"11","1992-10-08","Quebec Nordiques","5","Buffalo Sabres","4","","","",""
"12","1992-10-08","Edmonton Oilers","2","Calgary Flames","7","","","",""
"13","1992-10-08","Detroit Red Wings","5","Los Angeles Kings","3","","","",""
"14","1992-10-08","St. Louis Blues","2","Minnesota North Stars","5","","","",""
"15","1992-10-08","Montreal Canadiens","3","Ottawa Senators","5","","","",""
"16","1992-10-08","New York Islanders","3","Pittsburgh Penguins","7","","","",""
"17","1992-10-08","Winnipeg Jets","3","San Jose Sharks","4","OT","","",""
"18","1992-10-09","New Jersey Devils","4","Philadelphia Flyers","6","","","",""
"19","1992-10-09","New York Rangers","4","Washington Capitals","2","","","",""
"20","1992-10-10","New York Islanders","3","Boston Bruins","3","OT","","",""
"21","1992-10-10","Toronto Maple Leafs","2","Calgary Flames","3","","","",""
"22","1992-10-10","Buffalo Sabres","5","Hartford Whalers","2","","","",""
"23","1992-10-10","Winnipeg Jets","3","Los Angeles Kings","6","","","",""
"24","1992-10-10","Tampa Bay Lightning","1","Minnesota North Stars","2","","","",""
"25","1992-10-10","Pittsburgh Penguins","3","Montreal Canadiens","3","OT","","",""
"26","1992-10-10","New York Rangers","2","New Jersey Devils","4","","","",""
"27","1992-10-10","Ottawa Senators","2","Quebec Nordiques","9","","","",""
"28","1992-10-10","Detroit Red Wings","6","San Jose Sharks","3","","","",""
"29","1992-10-10","Chicago Blackhawks","3","St. Louis Blues","0","","","",""
"30","1992-10-10","Edmonton Oilers","2","Vancouver Canucks","5","","","",""
"31","1992-10-10","Philadelphia Flyers","4","Washington Capitals","2","","","",""
"32","1992-10-11","Montreal Canadiens","2","Buffalo Sabres","8","","","",""
"33","1992-10-11","Tampa Bay Lightning","4","Chicago Blackhawks","4","OT","","",""
"34","1992-10-11","Toronto Maple Leafs","3","Edmonton Oilers","3","OT","","",""
"35","1992-10-12","Ottawa Senators","3","Boston Bruins","6","","","",""
"36","1992-10-12","Washington Capitals","2","New Jersey Devils","4","","","",""
"37","1992-10-12","Hartford Whalers","2","New York Rangers","6","","","",""
"38","1992-10-12","Winnipeg Jets","1","Vancouver Canucks","8","","","",""
"39","1992-10-13","San Jose Sharks","1","Los Angeles Kings","2","","","",""
"40","1992-10-13","Calgary Flames","4","Minnesota North Stars","3","","8,783","","at Saskatoon, SK"
"41","1992-10-13","Buffalo Sabres","5","Pittsburgh Penguins","6","","","",""
"42","1992-10-13","Philadelphia Flyers","3","Quebec Nordiques","6","","","",""
"43","1992-10-13","Tampa Bay Lightning","2","St. Louis Blues","1","","","",""
"44","1992-10-14","Ottawa Senators","1","Hartford Whalers","4","","","",""
"45","1992-10-14","New Jersey Devils","1","New York Rangers","6","","","",""
"46","1992-10-14","Edmonton Oilers","3","Winnipeg Jets","7","","","",""
"47","1992-10-15","Edmonton Oilers","4","Chicago Blackhawks","3","OT","","",""
"48","1992-10-15","Quebec Nordiques","4","Detroit Red Wings","2","","","",""
"49","1992-10-15","Calgary Flames","0","Los Angeles Kings","4","","","",""
"50","1992-10-15","New York Islanders","5","Philadelphia Flyers","4","","","",""
"51","1992-10-15","Montreal Canadiens","2","Pittsburgh Penguins","5","","","",""
"52","1992-10-15","Boston Bruins","8","San Jose Sharks","2","","","",""
"53","1992-10-15","Minnesota North Stars","5","St. Louis Blues","4","","","",""
"54","1992-10-15","Tampa Bay Lightning","3","Toronto Maple Leafs","5","","","",""
"55","1992-10-16","Tampa Bay Lightning","4","Buffalo Sabres","5","OT","","",""
"56","1992-10-16","Vancouver Canucks","6","Winnipeg Jets","2","","","",""
"57","1992-10-16","Ottawa Senators","1","Washington Capitals","5","","","",""
"58","1992-10-17","Edmonton Oilers","2","Detroit Red Wings","4","","","",""
"59","1992-10-17","Pittsburgh Penguins","7","Hartford Whalers","3","","","",""
"60","1992-10-17","Boston Bruins","6","Los Angeles Kings","8","","","",""
"61","1992-10-17","Minnesota North Stars","1","Montreal Canadiens","8","","","",""
"62","1992-10-17","Philadelphia Flyers","0","New Jersey Devils","2","","","",""
"63","1992-10-17","New York Rangers","3","New York Islanders","6","","","",""
