"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1996-04-16","Vancouver Canucks","2","Colorado Avalanche","5","","","",""
"2","1996-04-16","Montreal Canadiens","3","New York Rangers","2","OT","","",""
"3","1996-04-16","Tampa Bay Lightning","3","Philadelphia Flyers","7","","","",""
"4","1996-04-16","St. Louis Blues","3","Toronto Maple Leafs","1","","","",""
"5","1996-04-17","Calgary Flames","1","Chicago Blackhawks","4","","","",""
"6","1996-04-17","Winnipeg Jets","1","Detroit Red Wings","4","","","",""
"7","1996-04-17","Boston Bruins","3","Florida Panthers","6","","","",""
"8","1996-04-17","Washington Capitals","6","Pittsburgh Penguins","4","","","",""
"9","1996-04-18","Vancouver Canucks","5","Colorado Avalanche","4","","","",""
"10","1996-04-18","Montreal Canadiens","5","New York Rangers","3","","","",""
"11","1996-04-18","Tampa Bay Lightning","2","Philadelphia Flyers","1","OT","","",""
"12","1996-04-18","St. Louis Blues","4","Toronto Maple Leafs","5","OT","","",""
"13","1996-04-19","Calgary Flames","0","Chicago Blackhawks","3","","","",""
"14","1996-04-19","Winnipeg Jets","0","Detroit Red Wings","4","","","",""
"15","1996-04-19","Washington Capitals","5","Pittsburgh Penguins","3","","","",""
"16","1996-04-20","Colorado Avalanche","4","Vancouver Canucks","0","","","",""
"17","1996-04-21","Chicago Blackhawks","7","Calgary Flames","5","","","",""
"18","1996-04-21","New York Rangers","2","Montreal Canadiens","1","","","",""
"19","1996-04-21","Toronto Maple Leafs","2","St. Louis Blues","3","OT","","",""
"20","1996-04-21","Philadelphia Flyers","4","Tampa Bay Lightning","5","OT","","",""
"21","1996-04-21","Detroit Red Wings","1","Winnipeg Jets","4","","","",""
"22","1996-04-22","Boston Bruins","2","Florida Panthers","6","","","",""
"23","1996-04-22","Colorado Avalanche","3","Vancouver Canucks","4","","","",""
"24","1996-04-22","Pittsburgh Penguins","4","Washington Capitals","1","","","",""
"25","1996-04-23","Chicago Blackhawks","2","Calgary Flames","1","3OT","","",""
"26","1996-04-23","New York Rangers","4","Montreal Canadiens","3","","","",""
"27","1996-04-23","Toronto Maple Leafs","1","St. Louis Blues","5","","","",""
"28","1996-04-23","Philadelphia Flyers","4","Tampa Bay Lightning","1","","","",""
"29","1996-04-23","Detroit Red Wings","6","Winnipeg Jets","1","","","",""
"30","1996-04-24","Florida Panthers","4","Boston Bruins","2","","","",""
"31","1996-04-24","Pittsburgh Penguins","3","Washington Capitals","2","4OT","","",""
"32","1996-04-25","Florida Panthers","2","Boston Bruins","6","","","",""
"33","1996-04-25","Vancouver Canucks","4","Colorado Avalanche","5","OT","","",""
"34","1996-04-25","Tampa Bay Lightning","1","Philadelphia Flyers","4","","","",""
"35","1996-04-25","St. Louis Blues","4","Toronto Maple Leafs","5","OT","","",""
"36","1996-04-26","Winnipeg Jets","3","Detroit Red Wings","1","","","",""
"37","1996-04-26","Montreal Canadiens","2","New York Rangers","3","","","",""
"38","1996-04-26","Washington Capitals","1","Pittsburgh Penguins","4","","","",""
"39","1996-04-27","Boston Bruins","3","Florida Panthers","4","","","",""
"40","1996-04-27","Toronto Maple Leafs","1","St. Louis Blues","2","","","",""
"41","1996-04-27","Philadelphia Flyers","6","Tampa Bay Lightning","1","","","",""
"42","1996-04-27","Colorado Avalanche","3","Vancouver Canucks","2","","","",""
"43","1996-04-28","New York Rangers","5","Montreal Canadiens","3","","","",""
"44","1996-04-28","Detroit Red Wings","4","Winnipeg Jets","1","","","",""
"45","1996-04-28","Pittsburgh Penguins","3","Washington Capitals","2","","","",""
"46","1996-05-02","Chicago Blackhawks","3","Colorado Avalanche","2","OT","","",""
"47","1996-05-02","Florida Panthers","2","Philadelphia Flyers","0","","","",""
"48","1996-05-03","St. Louis Blues","2","Detroit Red Wings","3","","","",""
"49","1996-05-03","New York Rangers","3","Pittsburgh Penguins","4","","","",""
"50","1996-05-04","Chicago Blackhawks","1","Colorado Avalanche","5","","","",""
"51","1996-05-04","Florida Panthers","2","Philadelphia Flyers","3","","","",""
"52","1996-05-05","St. Louis Blues","3","Detroit Red Wings","8","","","",""
"53","1996-05-05","New York Rangers","6","Pittsburgh Penguins","3","","","",""
"54","1996-05-06","Colorado Avalanche","3","Chicago Blackhawks","4","OT","","",""
"55","1996-05-07","Philadelphia Flyers","3","Florida Panthers","1","","","",""
"56","1996-05-07","Pittsburgh Penguins","3","New York Rangers","2","","","",""
"57","1996-05-08","Colorado Avalanche","3","Chicago Blackhawks","2","3OT","","",""
"58","1996-05-08","Detroit Red Wings","4","St. Louis Blues","5","OT","","",""
"59","1996-05-09","Philadelphia Flyers","3","Florida Panthers","4","OT","","",""
"60","1996-05-09","Pittsburgh Penguins","4","New York Rangers","1","","","",""
"61","1996-05-10","Detroit Red Wings","0","St. Louis Blues","1","","","",""
"62","1996-05-11","Chicago Blackhawks","1","Colorado Avalanche","4","","","",""
"63","1996-05-11","New York Rangers","3","Pittsburgh Penguins","7","","","",""
"64","1996-05-12","St. Louis Blues","3","Detroit Red Wings","2","","","",""
"65","1996-05-12","Florida Panthers","2","Philadelphia Flyers","1","2OT","","",""
"66","1996-05-13","Colorado Avalanche","4","Chicago Blackhawks","3","2OT","","",""
"67","1996-05-14","Philadelphia Flyers","1","Florida Panthers","4","","","",""
